,author,sourceDate,link,statement
0,Grace Abels ," June 16, 2023",https://www.politifact.com//factchecks/2023/jun/16/joe-biden/in-22-states-gay-couples-can-be-legally-booted-fro/,"In the U.S., “a person can be married in the morning and thrown out of a restaurant for being gay in the afternoon.”"
1,Marta Campabadal Graus ," June 16, 2023",https://www.politifact.com//factchecks/2023/jun/16/facebook-posts/ucrania-no-ha-tomado-moscu-contrario-a-lo-que-dice/,"""Panico en Moscu Putin anuncia que Ucrania toma la ciudad""."
2,Gabrielle Settles ," June 16, 2023",https://www.politifact.com//factchecks/2023/jun/16/instagram-posts/space-is-real-and-that-fact-still-holds-water/,Says a video showing water inside a glass on a spaceflight proves space isn’t real
3,Madison Czopek ," June 16, 2023",https://www.politifact.com//factchecks/2023/jun/16/roger-marshall/no-us-flag-code-wasnt-violated-when-the-progress-p/,Displaying the progress pride flag between two American flags during a White House pride event was “in breach of US Flag Code.”
4,Andy Nguyen ," June 16, 2023",https://www.politifact.com//factchecks/2023/jun/16/instagram-posts/no-pfizer-is-not-paying-anderson-cooper-12-million/,“Pfizer funneled $12 million to CNN anchor Anderson Cooper as part of a deal to promote mRNA COVID jabs to the American public.”
5,Samantha Putterman ," June 16, 2023",https://www.politifact.com//factchecks/2023/jun/16/tiktok-posts/massachusetts-church-wasnt-hosting-same-sex-weddin/,A Boston church burned during “a homosexual marriage” and there were no survivors.
6,Ciara O'Rourke ," June 16, 2023",https://www.politifact.com//factchecks/2023/jun/16/facebook-posts/no-miranda-lambert-isnt-hawking-these-weight-loss/,Country singer Miranda Lambert is giving away “free belly melt kits.”
7,Ciara O'Rourke ," June 16, 2023",https://www.politifact.com//factchecks/2023/jun/16/instagram-posts/its-pride-month-but-the-united-nations-didnt-repla/,“The United Nations replaces all 193 country flags with LGBT flags.”
8,Ciara O'Rourke ," June 16, 2023",https://www.politifact.com//factchecks/2023/jun/16/viral-image/sba-administrator-isabella-casillas-guzman-wasnt-a/,The military arrested the administrator of the Small Business Administration.
9,Gabrielle Settles ," June 16, 2023",https://www.politifact.com//factchecks/2023/jun/16/facebook-posts/dr-sebi-murio-de-neumonia-no-fue-asesinado-por-sus/,"""Silenciaron al Dr. Sebi"" por decir que ciertos vegetales ""son productos de laboratorio""."
10,Ciara O'Rourke ," June 15, 2023",https://www.politifact.com//factchecks/2023/jun/15/facebook-posts/did-donald-trump-aide-grill-barack-obama-video-doe/,Video shows an aide to former President Donald Trump “grilling” former President Barack Obama.
11,Ciara O'Rourke ," June 15, 2023",https://www.politifact.com//factchecks/2023/jun/15/viral-image/supposed-photo-of-trump-dancing-with-a-girl-on-jef/,Photo shows former President Donald Trump “dancing with a 13-year-old girl” on Jeffrey Epstein’s private island.
12,Maria Briceño ," June 15, 2023",https://www.politifact.com//factchecks/2023/jun/15/facebook-posts/una-familia-en-las-vegas-reporto-haber-visto-extra/,"Este video muestra ""extraterrestres en Las Vegas captados por una cámara de seguridad""."
13,Ciara O'Rourke ," June 15, 2023",https://www.politifact.com//factchecks/2023/jun/15/facebook-posts/old-video-of-trump-on-the-2016-campaign-trail-misl/,Video shows former President Donald Trump attacking the Clintons in 2023.
14,Ciara O'Rourke ," June 15, 2023",https://www.politifact.com//factchecks/2023/jun/15/viral-image/doctored-photo-appears-to-show-australian-tv-host/,A photo shows Australian TV host David Koch being detained by police.
15,Marta Campabadal Graus ," June 15, 2023",https://www.politifact.com//factchecks/2023/jun/15/tiktok-posts/claim-that-a-mexican-cartel-has-weapons-sent-to-uk/,This video shows a cartel member in Mexico carrying a Javelin that the U.S. sent to Ukraine.
16,Ciara O'Rourke ," June 14, 2023",https://www.politifact.com//factchecks/2023/jun/14/instagram-posts/trump-didnt-rescue-children-born-into-sex-slavery/,Former President Donald Trump rescued deformed children who were born into sex slavery in tunnels under Central Park in New York.
17,Tom Kertscher ," June 14, 2023",https://www.politifact.com//factchecks/2023/jun/14/instagram-posts/geoengineered-smoke-no-satellites-show-smoke-that/,"Smoke that covered New York, New Jersey and Connecticut after the Canadian wildfires “was a planned operation in geoengineering.”"
18,Sara Swann ," June 14, 2023",https://www.politifact.com//factchecks/2023/jun/14/instagram-posts/no-ukraines-military-is-not-camouflaging-tanks-as/,“A Ukrainian tank uses a house as camouflage.”
